sample_name,reference,lat,long
TR101 1D-2,"SCHILLING,1983",62.593°N,25.458°W
TR101 1D-2,"SCHILLING,1983",62.593°N,25.458°W
TR101 1D-2,"SCHILLING,1983",62.593°N,25.458°W
TR-101 1D-2,"POREDA,1986",62.593°N,25.458°W
TR-101 1D-2,"POREDA,1986",62.593°N,25.458°W
1 D-2,"HART,1973",62.593°N,25.458°W
TR101-01D-2,"ROWE,1979",62.593°N,25.458°W
TR 101-1D-2,"SUN,1975",62.593°N,25.458°W
TR 101-1D-2,"SUN,1975",62.593°N,25.458°W
1D2,"SCHILLING,1973",62.593°N,25.458°W
1D2,"SCHILLING,1973",62.593°N,25.458°W
TR101-1D-2,"MICHAEL,1998",62.593°N,25.458°W
TR101 1D-2,"HANAN,2000",62.593°N,25.458°W
TR101 1D-2,"HANAN,2000",62.593°N,25.458°W
TR101-1D2,"UNNI,1976",62.593°N,25.458°W
TR101-1D2,"UNNI,1976",62.593°N,25.458°W
TR101 1D-2,"BLICHERT-TOFT,2005",62.593°N,25.458°W
TR101 1D-2,"BLICHERT-TOFT,2005",62.593°N,25.458°W
TR101 1D-2,"BLICHERT-TOFT,2005",62.593°N,25.458°W
TR101 1D-2,"BLICHERT-TOFT,2005",62.593°N,25.458°W
TR101 01D-2,"KELLEY,2013",62.593°N,25.458°W
TR101 01D-2,"KELLEY,2013",62.593°N,25.458°W
TR-101 2-D-2,"MOORE,1973",62.623°N,25.433°W
TR101-02D-2,"ROWE,1979",62.623°N,25.433°W
TR101-2D-2,"MICHAEL,1998",62.623°N,25.433°W
TR101-2D2,"UNNI,1976",62.623°N,25.433°W
TR101-2D2,"UNNI,1976",62.623°N,25.433°W
D2-1,"CHRISTIE,1986",41.61°N,130.41°W
D2-1,"CHRISTIE,1986",41.61°N,130.41°W
D2-1,"CHRISTIE,1986",41.61°N,130.41°W
D2-1,"WALLACE,1992",41.61°N,130.41°W
D2-1,"WALLACE,1992",41.61°N,130.41°W
TR138 1D2,"WHITE,1978",46.23°N,27.39°W
TR138 1D2,"WHITE,1978",46.23°N,27.39°W
TR138 1D2,"WHITE,1978",46.23°N,27.39°W
TR138 1D-2,"SCHILLING,1983",46.23°N,27.39°W
TR138 1D-2,"SCHILLING,1983",46.23°N,27.39°W
TR138 1D-2,"SCHILLING,1983",46.23°N,27.39°W
TR138 1D2,"WHITE,1977",46.23°N,27.39°W
TR138 1D2,"WHITE,1977",46.23°N,27.39°W
TR138 1D2,"WHITE,1977",46.23°N,27.39°W
TR-138-1D-2,"SIGURDSSON,1981",46.23°N,27.39°W
TR-138-1D-2,"SIGURDSSON,1981",46.23°N,27.39°W
TR138 1D-2,"YU,1997",46.23°N,27.39°W
TR138 1D-2,"YU,1997",46.23°N,27.39°W
TR138 1D-2g,"KINGSLEY,1995",46.23°N,27.39°W
TR138 1D-2,"SCHILLING,1980",46.23°N,27.39°W
TR138 1D-2,"SCHILLING,1980",46.23°N,27.39°W
TR138 1D-2,"SCHILLING,1980",46.23°N,27.39°W
TR138 1D-2,"SCHILLING,1980",46.23°N,27.39°W
TR138 1D-2G,"AGRANIER,2005",46.23°N,27.39°W
TR138 01D-2,"KELLEY,2013",46.23°N,27.39°W
TR138 01D-2,"KELLEY,2013",46.23°N,27.39°W
TR138 01D-2,"KELLEY,2013",46.23°N,27.39°W
TR138 01D-2,"KELLEY,2013",46.23°N,27.39°W
TR-138-1D-2,"SIGURDSSON,1981",46.23°N,27.39°W
TR-138-1D-2,"SIGURDSSON,1981",46.23°N,27.39°W
2430-1,"SMITH,1994",45.133°N,130.167°W
ALV2430-1,"LUPTON,1993",45.133°N,130.167°W
